StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,Q3.1,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q4.5_1,Q4.7,Q4.8,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q7.1_1,Q7.2_1,Q7.3_1,Q7.4,Q7.5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q396_First Click,Q396_Last Click,Q396_Page Submit,Q396_Click Count,Q397_1,Q398_1,Q399_1,Q400_1,Q401_1,Q402_1,Q403_1,Q403_2,Q403_3,Q403_4,Q403_5,Q403_6,Q405_First Click,Q405_Last Click,Q405_Page Submit,Q405_Click Count,Q406_1,Q407_1,Q408_1,Q409_1,Q410_1,Q411_1,Q412_1,Q412_2,Q412_3,Q412_4,Q412_5,Q412_6,IM_1.2_First Click,IM_1.2_Last Click,IM_1.2_Page Submit,IM_1.2_Click Count,IM_1.3_1,IM_1.4_1,IM_1.5_1,IM_1.6_1,IM_1.7_1,IM_1.8_1,IM_1.9,IM_1.10_1,IM_1.10_2,IM_1.10_3,IM_1.10_4,IM_1.10_5,IM_1.10_6,IM_1.11,IM_1.12,IM_1.13_First Click,IM_1.13_Last Click,IM_1.13_Page Submit,IM_1.13_Click Count,IM_1.14#1_1,IM_1.14#1_2,IM_1.14#1_3,IM_1.14#1_4,IM_1.14#1_5,IM_1.14#1_6,IM_1.14#1_7,IM_1.14#1_8,IM_1.15_First Click,IM_1.15_Last Click,IM_1.15_Page Submit,IM_1.15_Click Count,NPS.2,NPS.3,NPS.4,NPS.5_NPS_GROUP,NPS.5,NPS.6,PROLIFIC_PID
2025-07-16 18:32:25,2025-07-16 18:54:13,IP Address,194.152.129.190,100,1307,True,2025-07-16 18:54:13,R_8561WvnRlpXgF4B,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,669784d7b9b01c76a1131cb9,Desktop,Other,English,25 to 44,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",7,7,1,1,7,7,3,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,108.186,197.086,215.231,4,7,7,7,7,7,7,4,5,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.224,138.224,154.71,1,7,7,7,7,7,5,"The article talks about serious issues like war, power, and leadership, which makes you think more carefully. You need to understand both sides and decide what seems true, so your thoughts are slower and more thoughtful.
",4,4,2,4,3,6,Yes,"The article only shows the Russian official’s opinion and uses strong language to discredit Ukraine and Zelensky without giving their side of the story. It seems more focused on pushing a message than giving fair or balanced information.
",3.006,130.212,131.463,11,No,No,Yes,Yes,Yes,No,Yes,No,3.006,130.213,131.464,11,The tool could be better if it showed when the article uses emotional or unfair language and told more about where the news came from. It should also point out if the story only shows one side and explain what tricks are used to try to influence the reader.,Yes,"The most helpful part was that the tool pointed out parts of the article that seemed biased or meant to influence the reader. It made it easier to see which parts were opinion or propaganda, and which were more factual.",Passive,7,,
2025-07-16 18:32:12,2025-07-16 18:56:11,IP Address,86.13.170.55,100,1438,True,2025-07-16 18:56:11,R_2fkUKY683Kh7hqF,,,,,51.4984,-3.2229,anonymous,EN,I agree and I want to participate,62cbf0028db66fbb9a89e1ca,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",7,7,1,1,7,2,5,Multiple times a day,10,"online news websites,news apps",,,,,,,,,,,,,,,,,,299.823,299.823,452.666,1,7,3,6,6,5,4,4,5,7,6,6,6,,,,,,,,,,,,,,,,,0,0,209.82,0,3,3,2,2,1,2,My reading style it to skim through the article in attemppt to pull out the most important parts and by doing that i have spontaneous thoughts about what i had just read rather than deliberately thinking about the whole passage as a whole,6,5,6,5,5,6,Yes,"I think that there are certain elements of the passage that contains elements that could be interpreted at propagandistic. They are spreading something that is potentially not true and making themselves seem better by doing so ",13.869,75.726,141.353,13,No,No,No,Yes,No,Yes,Yes,No,13.87,75.726,141.353,13,None i found it good,Yes,"The fact it highlighted certain parts of the passage that are potentially not true. Which allowed me to form my own view by getting two version of the text ",Promoter,10,,
2025-07-16 18:45:46,2025-07-16 18:59:06,IP Address,78.197.108.102,100,799,True,2025-07-16 18:59:06,R_2R7Ep8pQNTn1hWY,,,,,48.7177,2.3088,anonymous,EN,I agree and I want to participate,66b7dd88a3f352b57776c807,Desktop,Other,English,18 to 24,Male,High school diploma or equivalent,France,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",2,3,6,6,3,3,4,Rarely,7,"social media platforms (e.g. Facebook, Twitter, Telegram)",,0,0,181.097,0,5,3,3,6,4,5,2,3,5,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,96.864,0,6,6,3,3,3,5,Alot shorter less intimidating and scary.,3,5,6,4,4,5,Yes,The bias and the context,12.166,70.018,70.512,10,Yes,No,Yes,Yes,No,Yes,Yes,No,12.166,70.018,70.512,10,More clear and  less detailed,No,The info provided.,Detractor,4,,
2025-07-16 18:40:20,2025-07-16 19:02:25,IP Address,90.255.169.173,100,1325,True,2025-07-16 19:02:25,R_29wDGUBaTR42BMd,,,,,52.2242,0.1315,anonymous,EN,I agree and I want to participate,671d22f9355f8f1efaf7397c,Desktop,Other,English,18 to 24,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,4,4,4,4,4,4,Once a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,5.179,49.876,621.41,2,7,7,7,7,7,7,3,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,105.745,0,2,5,1,1,1,1,"There have been peace proposals or ceasefire plans rejected by either side, and some view Ukraine as unwilling to compromise on key issues.",2,2,2,2,2,2,Yes,"Manipulated or fabricated information: Examples include fake news stories, doctored images, and false reports falsely attributing events or statements to Western media or officials to create confusion or distrust",2.411,117.706,118.551,18,Yes,Yes,Yes,Yes,Yes,No,No,No,2.411,117.706,118.551,18,,Yes,gives unbiased percepective of situations,Passive,7,,
2025-07-16 18:32:07,2025-07-16 19:05:14,IP Address,41.13.176.184,100,1987,True,2025-07-16 19:05:15,R_2Yn1V7yIbIfDJ8j,,,,,-29.8553,31.0428,anonymous,EN,I agree and I want to participate,60a8bd22d03adbe92cbb9a5e,Desktop,Other,English,25 to 44,Male,Bachelor's degree,South Africa,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,6,1,1,6,6,2,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,47.852,523.279,524.371,22,7,7,7,5,4,6,5,4,6,5,5,6,,,,,,,,,,,,,,,,,7.163,294.023,307.325,10,7,3,3,4,6,7,"I wanted to get a clear understanding of the conflict of Russia and Ukraine, and also how exactly is Donald Trump and the US involved in this conflict. ",6,5,5,7,4,7,Yes,The article seems to be a mission to paint Zelensky as a bad leader.,5.834,170.429,172.016,22,Yes,No,No,Yes,No,No,No,No,5.835,170.429,172.017,22,Everything seems fine wwth the tool,Yes,Making sure I don't take information out of context,Promoter,10,None,
2025-07-16 18:38:51,2025-07-16 19:07:32,IP Address,80.7.237.11,100,1720,True,2025-07-16 19:07:32,R_8Ulu66011HiHTLH,,,,,52.3686,-1.2691,anonymous,EN,I agree and I want to participate,67c5d8062987a7f4a163158c,Desktop,Other,English,25 to 44,Female,"Some college/university, no degree",United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",7,7,1,1,7,7,1,Once a day,7,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,36.242,430.479,449.54,18,7,7,7,4,1,7,2,4,7,3,5,5,,,,,,,,,,,,,,,,,13.777,168.849,390.601,6,7,2,3,7,1,7,"Because I have a predetermined perspective on this particular conflict that cannot be swayed, my conviction in my beliefs will remain.",5,4,7,1,1,3,Yes,"The paragraphs I have ticked yes to show statements and opinions which have been isolated to fit the topic of the article. Which is that, Ukraine (Zelensky) is not fit for government and is hoarding power by refusing to meet with Russian leader: Putin",1.322,233.086,233.939,21,No,No,Yes,Yes,No,Yes,Yes,No,1.323,233.086,233.939,21,None,No,"I liked the breakdown of , Where, Why, etc. It was very clearly explained and had references too. Which I like.",Promoter,10,"I wish people would use something like this , maybe a tool like this should be made state law.",
2025-07-16 18:39:12,2025-07-16 19:08:29,IP Address,102.218.124.242,100,1756,True,2025-07-16 19:08:29,R_2s5RMl1mBvX6LIp,,,,,-1.2841,36.8155,anonymous,EN,I agree and I want to participate,65feaaac53eb219f09ad5ea0,Desktop,Other,English,18 to 24,Male,Master's degree,Kenya,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",6,7,1,2,7,7,4,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,599.886,0,7,2,3,5,3,7,2,4,5,6,3,6,0,0,197.495,0,6,5,3,2,6,6,It required time and thoughts in reading and connecting the story. Ukraine is giving a different story and Russia is giving another different story. To get the story you need to think deliberately.,5,3,5,4,3,6,Yes,It is giving some inaccurate or falsified information about Russia and Ukraine talks.,1.56,111.54,116.637,11,Yes,No,Yes,Yes,Yes,No,No,No,1.56,111.54,116.637,11,The tool is fine.,Yes,Some biased and propagated information which may seem correct and may mislead you.,Promoter,9,The task was good. thank you.,
2025-07-16 18:33:49,2025-07-16 19:17:27,IP Address,197.229.6.165,100,2617,True,2025-07-16 19:17:27,R_2R4qOWxG7qbH7PU,,,,,-33.914,18.4129,anonymous,EN,I agree and I want to participate,67c1ce78c21573ec238ef382,Desktop,Other,English,25 to 44,Female,Bachelor's degree,South Africa,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",6,6,2,2,6,6,2,Several times a week,11,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,119.161,614.917,689.852,5,7,7,1,1,1,7,3,7,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,171.802,0,7,1,7,1,7,7,Because the article needed understanding and processing of each part as l was constantly evaluating the information.,6,5,2,5,5,4,Yes,"Because the information in the article is a mix of facts, rumours and arguments.",1.941,335.296,336.514,12,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.941,335.295,336.513,12,Being short and precise while outlining the important details.,Yes,How it clearly elaborated the highlighted area in a way that  l understood better.,Detractor,6,,
2025-07-16 18:48:10,2025-07-16 19:24:09,IP Address,99.44.66.156,100,2159,True,2025-07-16 19:24:10,R_3nrF9Ro3oYD6wjT,,,,,33.7329,-118.2951,anonymous,EN,I agree and I want to participate,5fadeb340e10471fdeb5fbf5,Desktop,Other,English,25 to 44,Male,High school diploma or equivalent,United States,"Skilled Agricultural, Forestry & Fishery Workers – farmers, foresters, fishery workers","Yes, I will",3,4,3,4,4,4,4,Rarely,7,"social media platforms (e.g. Facebook, Twitter, Telegram)",,0,0,237.288,0,6,3,6,6,5,6,4,4,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,87.391,0,6,4,5,5,4,6,The article mostly was deliberate to me because it mostly was about how Putin doesn't think highly of the Ukraine leader and does not take him serious.,4,3,4,5,4,4,,,10.43,60.546,61.761,11,Yes,Yes,No,Yes,,Yes,Yes,Yes,10.431,60.546,61.761,11,no,Yes,Highlighting what I needed to like for.,Passive,8,,
2025-07-16 19:18:07,2025-07-16 19:59:22,IP Address,72.241.228.199,100,2475,True,2025-07-16 19:59:23,R_6Poeif5a0diRG8e,,,,,41.6503,-83.5065,anonymous,EN,I agree and I want to participate,66d9869a4e9051cdf5d16fa3,Desktop,Other,English,25 to 44,Female,"Some college/university, no degree",United States,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",5,5,2,2,4,5,5,Multiple times a day,1,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,580.619,0,1,7,6,2,2,7,1,4,4,5,4,7,0,0,76.381,0,7,1,7,7,3,2,"I devolped my own thoughts based on the information presented, trying to determine what is real from fake, true from false etc.. There was no other information to point this out to me.",3,4,5,4,4,5,Yes,"I think it's politically motivated. Some parts of the article sound like propaganda because they use dramatic words to make a person look bad, like saying Zelensky is “playing games.” They guess at someone’s hidden motives without proof, which can unfairly influence people’s opinions. These tricks try to sway readers, instead of just providing facts. Especially trying to sway readers to view Ukraine and President Zelensky in a negative light. ",0.922,622.793,623.481,52,Yes,No,Yes,Yes,Yes,Yes,Yes,No,0.921,622.792,623.48,52,"The highlights/fact checking is very comprehensive, which is good.. but only upon request... When reading, most people want clear and concise information. I feel like the highlighted sections are entire articles themselves, as it relates to the sheer length of the information. A clear and concise breakdown would be much more valuable. ",Yes,"That it highlights it, makes it known, and provides an explanation. ",Promoter,10,"no ",
2025-07-13 16:49:58,2025-07-13 16:50:30,IP Address,194.230.148.189,1,31,False,2025-07-20 16:50:39,R_2jf9IjKQKS5bs8r,,,,,47.4021,8.5752,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-13 16:50:30,2025-07-13 16:50:46,IP Address,194.230.148.189,1,15,False,2025-07-20 16:50:46,R_8Eb4cp9a2pIPbod,,,,,47.4021,8.5752,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:48:35,2025-07-23 14:49:41,IP Address,92.40.175.186,100,66,True,2025-07-23 14:49:42,R_21Yr79a8l63K4Y9,,,,,51.4892,0.0439,anonymous,EN,I agree and I want to participate,5a9fa90f873cda00010d29d8,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:48:53,2025-07-23 14:50:18,IP Address,173.81.21.79,100,85,True,2025-07-23 14:50:19,R_6s5Nf11bD70Jsvo,,,,,39.264,-81.5332,anonymous,EN,I agree and I want to participate,675aaec58dfc729c338a52eb,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:49:28,2025-07-23 14:50:40,IP Address,159.196.132.61,100,72,True,2025-07-23 14:50:41,R_9gzPmSRUB40SrLZ,,,,,-31.92,115.861,anonymous,EN,I agree and I want to participate,614e65edaccea7bee04b8ad8,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:51:10,2025-07-23 14:51:33,IP Address,102.223.58.223,100,23,True,2025-07-23 14:51:34,R_2NkVIZu5fG9VgkX,,,,,-26.2309,28.0583,anonymous,EN,I agree and I want to participate,603e1fe6849f5c63a9997cf5,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:49:09,2025-07-23 14:52:05,IP Address,46.227.151.3,100,176,True,2025-07-23 14:52:05,R_8frmsKsUprd6y5e,,,,,51.4647,-0.0509,anonymous,EN,I agree and I want to participate,669a67432f97ada112dd9c21,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:51:05,2025-07-23 14:52:09,IP Address,155.190.33.7,100,64,True,2025-07-23 14:52:10,R_8PHzlRBjmEDiJca,,,,,51.5081,-0.1278,anonymous,EN,I agree and I want to participate,60ca4f2a47277c62b6603105,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:51:38,2025-07-23 14:52:23,IP Address,82.10.115.71,100,44,True,2025-07-23 14:52:23,R_8dopWmS9Vw9OxtQ,,,,,53.4368,-2.6024,anonymous,EN,I agree and I want to participate,667c744d940ae66df47ab873,Desktop,Communication and/or Media,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:51:30,2025-07-23 14:53:49,IP Address,24.186.234.117,100,139,True,2025-07-23 14:53:49,R_1Ym4xVJsGl7E4aI,,,,,41.0641,-73.548,anonymous,EN,I agree and I want to participate,6745731e75a88802a56be3ef,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:53:35,2025-07-23 14:55:04,IP Address,97.140.136.122,100,88,True,2025-07-23 14:55:04,R_3BmESNdVA1EEPWp,,,,,35.8692,-78.5348,anonymous,EN,I agree and I want to participate,677dc8b2a9160d395ca7e008,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:55:14,2025-07-23 14:56:14,IP Address,80.2.202.70,100,60,True,2025-07-23 14:56:14,R_8vWx322Y2OHOe41,,,,,52.6152,-1.6655,anonymous,EN,I agree and I want to participate,668be37946530c3be50aa890,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:56:40,2025-07-23 14:58:44,IP Address,41.13.158.182,100,124,True,2025-07-23 14:58:45,R_8Em6iLExx4G6TVQ,,,,,-29.8553,31.0428,anonymous,EN,I agree and I want to participate,676fea0e89f12c60c46e7feb,Tablet,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:48:24,2025-07-23 14:58:56,IP Address,80.3.218.240,100,631,True,2025-07-23 14:58:57,R_2SIX5rV8QnKgNuM,,,,,54.9313,-1.5855,anonymous,EN,I agree and I want to participate,676055469b245b53e81358d0,Desktop,Other,English,18 to 24,Male,High school diploma or equivalent,United Kingdom,,"Yes, I will",5,5,3,4,5,5,3,Multiple times a day,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.726,136.518,137.725,4,6,5,3,4,3,5,4,4,5,5,4,5,116.295,116.295,120.93,1,6,3,4,3,3,5,the article is very biased towards russia and is clearly russian propoganda . as it is clearly pro russian and anti ukraine in nature,5,2,7,3,2,3,Yes,it is clearly biased in favour of russian and hates ukraine and its leader.,1.136,54.871,62.075,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.138,54.872,62.075,13,the tool is already very good,Yes,the statements on how it is trying to impact people and which specific parts do this,Passive,8,,
2025-07-23 14:58:57,2025-07-23 14:59:29,IP Address,80.0.193.95,100,31,True,2025-07-23 14:59:29,R_20zaCdxRSXdBC2R,,,,,53.1917,-0.6731,anonymous,EN,I agree and I want to participate,60b3950b9a1de417d37bb8d2,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:48:25,2025-07-23 14:59:51,IP Address,151.231.156.76,100,686,True,2025-07-23 14:59:52,R_2CIw5UFDAYlXyGo,,,,,52.5736,-2.1137,anonymous,EN,I agree and I want to participate,6674bd2b56aae0985600d533,Desktop,Other,English,18 to 24,Female,Master's degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",6,7,3,5,7,6,2,Several times a week,8,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,220.625,0,5,3,4,6,5,6,1,5,7,5,5,2,0,0,60.899,0,6,3,5,2,5,6,"I think by using the propaganda tool, I was primed to look for biased parts of the article. It helped me take a more critical stance, especially when reading about how Zelensky is described to have postponed elections. I didn't just consider the wartime context, but considered the bias behind it - wanting to prolong the war. I also considered the critical nature of this lens and how it might be manipulating the reader.",1,5,7,4,3,5,Yes,Because it was twisting the narrative in favour of presenting Zelensky as a power-hungry leader who wants to prolong conflict instead of protecting his country.,1.133,76.373,77.301,10,Yes,Yes,No,Yes,Yes,No,Yes,No,1.134,76.373,77.301,10,N/A,Yes,Having a more critical approach to reading the articles and helping me not to just take everything I read at face value,Promoter,9,,
2025-07-23 14:59:36,2025-07-23 15:00:12,IP Address,80.0.193.95,100,36,True,2025-07-23 15:00:13,R_8uEBtrCTsigmac7,,,,,53.1917,-0.6731,anonymous,EN,I agree and I want to participate,60b3950b9a1de417d37bb8d2,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 14:50:26,2025-07-23 15:00:56,IP Address,173.81.21.79,100,630,True,2025-07-23 15:00:56,R_6fTCfIDywIVsncH,,,,,39.264,-81.5332,anonymous,EN,I agree and I want to participate,675aaec58dfc729c338a52eb,Desktop,Other,English,18 to 24,Female,"Some college/university, no degree",United States,"Service & Sales Workers – customer-facing roles (e.g. retail salesperson, waiter/waitress, hairdresser)","Yes, I will",5,4,4,4,5,2,4,Several times a week,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,0,0,152.296,0,6,6,5,5,6,7,2,4,5,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.421,89.421,89.756,1,7,7,5,5,6,6,I felt this way because I was trying to keep my thoughts stable as I read. I made sure my thoughts were going along with the article,3,4,4,6,5,4,Yes,"I feel the first passage can be taken as propaganda. We dont know if this is fully true, and starting the article like that seems off.",29.4,101.351,102.189,11,Yes,No,No,No,Yes,Yes,No,No,29.4,101.351,102.189,11,"Nothing, I think its helpful as is",Yes,"I found it helpful as it helped you figure out what was real, and showed why it was propaganda",Passive,8,,
2025-07-23 14:49:04,2025-07-23 15:01:25,IP Address,208.127.197.147,100,740,True,2025-07-23 15:01:25,R_87t6DrnehW2T1K1,,,,,53.35,-1.55,anonymous,EN,I agree and I want to participate,5cbef2ae5ae17500015c491d,Desktop,Other,English,25 to 44,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",4,5,2,2,5,4,2,Rarely,7,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,0,0,258.419,0,5,5,6,4,2,3,2,3,5,4,6,6,,,,,,,,,,,,,,,,,0,0,90.815,0,6,7,3,3,2,6,"I felt that reading the article made me think about how I was feeling, rather than trying to lead me into a way of thinking",4,4,2,5,4,6,No,It didn't seem as obvious as the one before,0.852,73.314,75.316,12,Yes,No,No,Yes,No,No,No,No,0.852,73.315,75.316,12,Not sure,Yes,It explained why it was propaganda and gave sources for information,Detractor,2,,
2025-07-23 14:47:50,2025-07-23 15:01:48,IP Address,45.83.165.50,100,838,True,2025-07-23 15:01:49,R_2MwC5SyNCJw7wwF,,,,,52.2493,-1.1642,anonymous,EN,I agree and I want to participate,608ab6edcbea5439dc2f537e,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",3,5,4,2,5,6,2,Several times a week,8,"online news websites,news apps",,,,,,,,,,,,,,,,,,273.575,273.575,277.666,1,6,6,7,7,7,6,2,5,4,6,5,5,,,,,,,,,,,,,,,,,0,0,115.266,0,4,2,4,5,2,3,I didn't get a chance for extra context and it felt like obvious misinformation,6,2,7,2,1,4,Yes,The RT is heavily funded by he russian state and as such is pro-russian propaganda,1.094,80.876,82.752,11,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.094,80.876,82.752,11,Change the font to be bigger and highlight sections within the tool to point out key details. Was struggling to read it.,Yes,It provides sources which is critical to making your own mind up.,Passive,8,,
2025-07-23 14:51:28,2025-07-23 15:02:19,IP Address,81.159.64.200,100,650,True,2025-07-23 15:02:19,R_8elOSMWAoSahVq9,,,,,51.7283,-1.2406,anonymous,EN,I agree and I want to participate,577a0a7aadbc7500015d2479,Desktop,Other,English,45 to 64,Female,Master's degree,United Kingdom,"Elementary Occupations – routine manual or simple tasks (e.g. cleaner, porter, shelf stacker)","Yes, I will",5,5,3,3,5,5,3,Multiple times a day,8,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.131,175.147,176.904,9,6,3,6,6,6,6,2,4,5,5,5,5,11.245,36.003,37.379,3,3,3,3,3,3,3,"This article didn't have the identification and analysis of bias that the first article had.  So my thoughts were less deliberate, as I was not using the analysis tools.",2,3,3,4,3,4,Yes,There was over simplification and manipulation in the article.,6.298,60.241,61.255,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,6.298,60.241,61.255,13,That it included titles of the websites/evidence/sources given in evidence.,Yes,That it gave analysis and sources,Passive,8,,
